"Recruiting
Profile",,Player,Games,Time,Events,EFG%,Pts.,Opps.,Ast,TO,TO%,Reb,OReb,DReb,Reb%,Fouls,Team Pts.,Team Pts. Allowed,#ERROR!,Off. PPP,Def. PPP,Net PPP,VPS,2 Pt Fouls,2Pt,2Pt A,2Pt Fouled,2Pt miss,2Pt Rate,2Pt%,3 Pt Fouls,3Pt,3Pt A,3Pt Fouled,3Pt miss,3Pt Rate,3Pt%,And-1 Fouls,Ast%,ATR %,ATR Att.,ATR Fouled,ATR Made,ATR Rate,ATR/A,Blk,Blk%,Blk/Foul,Blkd,Chrg,Cut,Def Foul,Def. 2Pt%,Def. 3Pt%,Def. Poss.,Def. Rtg,Def. TO,Def. TO%,Deflect,FT,FT A,FT miss,FT Trips,FT Violation,FT%,FTF,Games,LB Foul,Long Mid %,Long Mid Att.,Long Mid Fouled,Long Mid Made,Long Mid Rate,Long Mid/A,Lost Tie Up,MPG,NS Fouls,NS Fouls (Bonus),Off Foul,Off. Pace,Off. Poss.,Off. Rtg,Opp DRebs,Opp ORebs,Pace,Poss.,PPG,Short Mid %,Short Mid Att.,Short Mid Fouled,Short Mid Made,Short Mid Rate,Short Mid/A,Shots,Stl,Stl%,Stl/Foul,Tech Foul,Tie Up,TS%,Usage %
,,"#0 Colin Byrd
St. Paul VI Catholic High School",4,24:07:00,0,80.00%,8,5,0,0,0.00%,2,1,1,4.90%,2,46,50,-4,1.05,1,0.05,1.25,0,1,1,0,0,20.00%,100.00%,0,2,4,0,2,80.00%,50.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,50,100,12,23.10%,0,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,6:01,0,0,0,0,44,104.5,0,0,0,0,2,-,0,0,0,0.00%,0,5,0,0.00%,-,0,0,80.00%,9.60%
,,"#0 Donovan Williams, Jr.
Oak Hill Academy",4,1:49:14,0,55.30%,46,42,9,4,8.70%,15,2,13,8.00%,11,234,183,51,1.18,0.92,0.25,1.36,0,15,24,1,9,63.20%,62.50%,0,4,14,0,10,36.80%,28.60%,0,-,-,0,0,0,0.00%,0,3,1.80%,-,0,0,0,11,-,-,198,92.4,49,20.40%,5,4,6,2,4,0,66.70%,0.16,4,0,-,0,0,0,0.00%,0,0,27:18:00,0,0,0,0,199,117.6,0,0,0,0,11.5,-,0,0,0,0.00%,0,38,5,2.50%,-,0,0,56.60%,20.70%
,,"#0 Layden Kauka
Utah Prep",3,31:28:00,0,31.20%,6,9,3,0,0.00%,3,0,3,5.10%,4,77,53,24,1.35,0.93,0.42,0.71,0,1,1,1,0,12.50%,100.00%,0,1,7,0,6,87.50%,14.30%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,57,93,13,18.30%,0,1,2,1,1,0,50.00%,0.25,3,0,-,0,0,0,0.00%,0,0,10:29,0,0,0,0,57,135.1,0,0,0,0,2,-,0,0,0,0.00%,0,8,0,0.00%,-,0,0,33.80%,14.10%
,,"#0 Ian Smith
Imhotep Institute Charter High S",4,57:50:00,0,32.10%,9,14,7,3,17.60%,4,0,4,3.60%,9,111,110,1,0.93,0.96,-0.04,0.75,0,3,9,0,6,64.30%,33.30%,0,1,5,0,4,35.70%,20.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,9,-,-,114,96.5,27,21.60%,0,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,14:27,0,0,0,0,120,92.5,0,0,0,0,2.2,-,0,0,0,0.00%,0,14,3,2.60%,-,0,0,32.10%,13.60%
,,"#0 Lamarrion Lewis
Wheeler High School (GA)",4,1:17:32,0,53.60%,17,15,11,4,21.10%,13,2,11,9.80%,10,149,130,19,1.06,0.92,0.14,1.43,0,6,8,1,2,57.10%,75.00%,0,1,6,0,5,42.90%,16.70%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,1,0,8,-,-,142,91.5,39,22.30%,8,2,2,0,1,0,100.00%,0.14,4,1,-,0,0,0,0.00%,0,1,19:23,0,0,1,0,141,105.7,0,0,0,0,4.2,-,0,0,0,0.00%,0,14,3,2.10%,-,0,0,57.10%,12.00%
,,"#0 Kenna Quitan
University Laboratory School",4,1:44:13,0,20.00%,9,21,2,5,19.20%,8,3,5,4.20%,6,164,175,-11,0.86,0.93,-0.06,0.54,0,1,8,1,7,40.00%,12.50%,0,2,12,0,10,60.00%,16.70%,0,-,-,0,0,0,0.00%,0,1,0.60%,-,0,0,0,6,-,-,189,92.6,38,16.90%,5,1,2,1,1,0,50.00%,0.1,4,0,-,0,0,0,0.00%,0,1,26:03:00,0,0,0,0,190,86.3,0,0,0,0,2.2,-,0,0,0,0.00%,0,20,4,2.10%,-,0,0,21.60%,12.40%
,,"#0 Garrick Imamura
Kalani High School",3,31:21:00,0,0.00%,5,17,1,8,32.00%,5,1,4,7.10%,4,37,72,-35,0.57,1.12,-0.56,0.23,0,0,5,2,5,38.50%,0.00%,0,0,8,0,8,61.50%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,64,112.5,7,8.40%,0,5,8,3,4,0,62.50%,0.62,3,0,-,0,0,0,0.00%,0,0,10:27,0,0,0,0,65,56.9,0,0,0,0,1.7,-,0,0,0,0.00%,0,13,0,0.00%,-,0,0,15.10%,34.90%
,,"#0 Antonio Pemberton
Brewster",4,49:04:00,0,44.70%,19,21,17,2,8.70%,13,7,6,14.90%,4,107,57,50,1.22,0.69,0.53,1.89,0,7,13,2,6,68.40%,53.80%,0,1,6,0,5,31.60%,16.70%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,83,68.7,22,23.40%,2,2,4,2,2,0,50.00%,0.21,4,0,-,0,0,0,0.00%,0,0,12:16,0,0,0,0,88,121.6,0,0,0,0,4.8,-,0,0,0,0.00%,0,19,1,1.20%,-,0,0,45.80%,26.60%
,,"#0 Kofi Asare
Veritas Academy",4,1:37:57,0,80.00%,28,20,1,3,13.00%,29,11,18,16.00%,13,173,170,3,1.01,0.97,0.05,1.6,0,12,15,3,3,100.00%,80.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,5,3.10%,-,0,0,0,12,-,-,176,96.6,28,12.80%,4,4,9,5,5,0,44.40%,0.6,4,1,-,0,0,0,0.00%,0,0,24:29:00,0,0,0,0,171,101.2,0,0,0,0,7,-,0,0,0,0.00%,0,15,0,0.00%,-,0,0,73.80%,12.80%
,,"#1 Keisen Takamiya
Kalani High School",3,1:05:28,0,35.30%,19,26,2,13,33.30%,13,1,12,8.70%,4,66,139,-73,0.52,1.07,-0.55,0.68,0,6,17,5,11,100.00%,35.30%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,130,106.9,17,10.50%,1,7,16,9,9,0,43.80%,0.94,3,0,-,0,0,0,0.00%,0,2,21:49,0,0,0,0,126,52.4,0,0,0,0,6.3,-,0,0,0,0.00%,0,17,4,3.10%,-,0,0,39.50%,30.90%
